Unnamed: 0,pos,title,merchant,price,rating,reviews_count,product
5,6,PlayStation Body Slim Model Digital Edition,Walmart - VIPOUTLET,469.0,4.7,17000.0,PlayStation
6,7,Sony PlayStation 5 Pro Console,PlayStation,699.99,4.7,55.0,PlayStation
7,8,PlayStation Body Slim Model Digital Edition,Walmart - VIPOUTLET,469.0,4.7,17000.0,PlayStation
8,9,Sony PlayStation 5 Pro Console,PlayStation,699.99,4.7,55.0,PlayStation
9,10,Sony PlayStation 5 Slim Digital Edition,Target,399.99,4.7,6800.0,PlayStation
10,11,PlayStation 5 Digital Edition Console,GameStop,389.99,4.5,9900.0,PlayStation
11,12,Sony PlayStation 5 Digital Edition,Swappa,375.0,4.5,9900.0,PlayStation
12,13,PlayStation Classic Console with 20 Classic PlayStation Games Pre-Installed Holiday Bundle,Walmart - Red Rocks Distributing,100.0,3.9,1200.0,PlayStation
13,14,Sony PlayStation 5 Digital Edition 8K HDR 825 GB SSD Astro's Playroom,PlayStation,399.99,4.5,9900.0,PlayStation
14,15,Sony PlayStation 4 Slim 500GB,Amazon.com - Seller,190.01,4.7,53000.0,PlayStation
15,16,PlayStation 5 Digital Edition,GameStop,389.99,4.5,9900.0,PlayStation
16,17,Sony PlayStation 5 Blu Ray Disk Standard Edition,Coast Guard Exchange,449.99,4.5,47000.0,PlayStation
17,18,Sony PlayStation Classic Console with 20 PlayStation Games Pre-Installed,Walmart - Bargain Pros,127.7,3.9,1200.0,PlayStation
18,19,Sony PlayStation 5 Console,PlayStation,449.99,4.5,47000.0,PlayStation
19,20,Sony PlayStation 5 Digital Edition Console,Amazon.com - Seller,519.0,4.5,9900.0,PlayStation
20,21,PlayStation 5 Console,GameStop,439.99,4.5,47000.0,PlayStation
21,22,PlayStation 5 Slim Console with Marvel's Spider-Man 2 Bundle,StockX,559.0,4.7,17000.0,PlayStation
22,23,Sony PlayStation Classic Edition Console,Walmart - Lightning Deals Group,79.99,3.9,1200.0,PlayStation
23,24,Sony PlayStation 5 with God of War Ragnarok,BrandsMart USA,499.99,4.5,47000.0,PlayStation
24,25,PlayStation 4 Pro 2TB 500 Million Limited Edition Console,eBay - authentic_jp,1483.99,4.7,18000.0,PlayStation
25,26,Sony PlayStation 4 1TB Gold,GameStop,169.99,4.6,11000.0,PlayStation
26,27,Sony PlayStation 5 Ultimate Bundle,Macy's,1199.0,0.0,0.0,PlayStation
27,28,PlayStation 4 Console with Call of Duty Modern Warfare II,Amazon.com - Seller,379.95,4.6,11000.0,PlayStation
28,29,PlayStation 4 Pro 1TB Limited Edition God of War Bundle,Walmart - Exquisite Dealz,399.95,4.7,18000.0,PlayStation
29,30,PlayStation Console Limited Edition Bundle with Marvel's Spider-Man 2,Newegg.com - InBulk Electronics,1049.95,4.5,47000.0,PlayStation
30,31,Sony PlayStation 4 Slim 500GB Console,GameStop,159.99,4.7,34000.0,PlayStation
31,32,PlayStation 4 Slim 1TB Console,Back Market,171.83,4.7,53000.0,PlayStation
32,33,Sony PlayStation 4 Slim Edition 1TB Console,Amazon.com - Seller,194.19,4.6,11000.0,PlayStation
33,34,Sony PlayStation 4 Slim 500GB Black 2 Controller Included GTA V Game Bolt Axtion Bundle,Walmart - Gamer Girlz,249.99,4.6,11000.0,PlayStation
34,35,PlayStation 5 Digital Console,Bloomingdale's,699.99,4.5,9900.0,PlayStation
35,36,Sony PS5 Disc Edition Bundle with PlayStation Plus 24 Months Premium Membership,GameStop,689.99,4.3,6.0,PlayStation
36,37,PlayStation 5 Console Horizon Forbidden West Bundle,StockX,492.0,4.5,47000.0,PlayStation
37,38,Playstation Console With 6 Games,eBay,78.0,4.3,107.0,PlayStation
38,39,Sony PlayStation 4 Pro 1TB Console,Walmart - L&Y Business,598.99,4.7,18000.0,PlayStation
39,40,PlayStation Console Limited Edition Bundle with Marvel's Spider-Man 2,shopsimpletronics.com,1099.0,5.0,1.0,PlayStation
40,41,Sony PlayStation 4 500GB Limited Edition Uncharted 4 Bundle,GameStop,159.99,4.7,34000.0,PlayStation
41,42,Sony PlayStation 5 Console with Spider-Man 2,HSN,719.99,0.0,0.0,PlayStation
42,43,PlayStation 5 Slim Console with Call of Duty Modern Warfare III,StockX,535.0,4.7,17000.0,PlayStation
43,44,Sony PlayStation 4 Slim 1TB Black Astro A10 Gaming Bolt Axtion Bundle,Walmart - Gamer Girlz,199.99,4.6,11000.0,PlayStation
44,45,Sony PS5 Slim Disc Bundle,Macy's,664.0,5.0,170.0,PlayStation
45,46,PlayStation 4 Pro 1TB HDD,GameStop,209.99,4.7,18000.0,PlayStation
46,47,PlayStation 5 Digital Edition God of War Ragnarök Bundle,eBay,587.78,4.5,9900.0,PlayStation
