name,link,image,sku,model,price,original_price,save,rating,rating_count,is_sold_out,product
"Apple - Geek Squad Certified Refurbished MacBook Air 13.3"" Laptop - Intel Core i5 - 8GB Memory - 128GB Solid State Drive - Gold",https://www.bestbuy.com/site/apple-geek-squad-certified-refurbished-macbook-air-13-3-laptop-intel-core-i5-8gb-memory-128gb-solid-state-drive-gold/6490134.p?skuId=6490134,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6490/6490134_sd.jpg;maxHeight=127;maxWidth=300;format=webp,6490134.0,GSRF MVFM2LL/A,439.0,899.0,51.17%,4.2,85.0,False,Macbook
"Apple - Geek Squad Certified Refurbished MacBook Air 15"" Laptop - M2 chip - 8GB Memory - 256GB SSD - Midnight",https://www.bestbuy.com/site/apple-geek-squad-certified-refurbished-macbook-air-15-laptop-m2-chip-8gb-memory-256gb-ssd-midnight/6568686.p?skuId=6568686,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6534/6534606_sd.jpg;maxHeight=121;maxWidth=300;format=webp,6568686.0,GSRF MQKW3LL/A,929.0,1299.0,28.48%,4.3,6.0,False,Macbook
"Geek Squad Certified Refurbished MacBook Air 13.6"" Laptop - Apple M2 chip - 8GB Memory - 512GB SSD - Starlight",https://www.bestbuy.com/site/geek-squad-certified-refurbished-macbook-air-13-6-laptop-apple-m2-chip-8gb-memory-512gb-ssd-starlight/6550225.p?skuId=6550225,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6550/6550225_sd.jpg;maxHeight=121;maxWidth=300;format=webp,6550225.0,GSRF MLY23LL/A,944.0,1399.0,32.52%,5.0,9.0,False,Macbook
"Apple - Geek Squad Certified Refurbished MacBook Air 13.3"" Laptop - Intel Core i3 - 8GB Memory - 256GB Solid State Drive - Silver",https://www.bestbuy.com/site/apple-geek-squad-certified-refurbished-macbook-air-13-3-laptop-intel-core-i3-8gb-memory-256gb-solid-state-drive-silver/6489722.p?skuId=6489722,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6489/6489722_sd.jpg;maxHeight=115;maxWidth=300;format=webp,6489722.0,GSRF MWTK2LL/A,429.0,949.0,54.79%,4.4,114.0,False,Macbook
"Apple - Geek Squad Certified Refurbished MacBook Pro 15.4"" Display- Intel Core i9- 16GB Memory- AMD Radeon Pro 560X - 512GB SSD - Silver",https://www.bestbuy.com/site/apple-geek-squad-certified-refurbished-macbook-pro-15-4-display-intel-core-i9-16gb-memory-amd-radeon-pro-560x-512gb-ssd-silver/6489763.p?skuId=6489763,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6489/6489763_sd.jpg;maxHeight=130;maxWidth=300;format=webp,6489763.0,GSRF MV912LL/A,749.0,2799.0,73.24%,3.4,12.0,False,Macbook
"Apple - Geek Squad Certified Refurbished MacBook Pro - 13"" Display with Touch Bar - Intel Core i5 - 8GB Memory - 256GB SSD - Space Gray",https://www.bestbuy.com/site/apple-geek-squad-certified-refurbished-macbook-pro-13-display-with-touch-bar-intel-core-i5-8gb-memory-256gb-ssd-space-gray/6489840.p?skuId=6489840,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6489/6489840_sd.jpg;maxHeight=116;maxWidth=300;format=webp,6489840.0,GSRF MXK32LL/A,549.0,1249.0,56.04%,4.0,51.0,False,Macbook
"Apple - Geek Squad Certified Refurbished MacBook Pro - 16"" Display- Intel Core i7- 16GB Memory- AMD Radeon Pro 5300M - 512GB SSD - Space Gray",https://www.bestbuy.com/site/apple-geek-squad-certified-refurbished-macbook-pro-16-display-intel-core-i7-16gb-memory-amd-radeon-pro-5300m-512gb-ssd-space-gray/6489615.p?skuId=6489615,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6489/6489615_sd.jpg;maxHeight=114;maxWidth=300;format=webp,6489615.0,GSRF MVVJ2LL/A,809.0,2399.0,66.28%,4.1,78.0,False,Macbook
"Apple - Geek Squad Certified Refurbished MacBook Air®  - 13.3"" Display - Intel Core i5 - 8GB Memory - 128GB Flash Storage - Silver",https://www.bestbuy.com/site/apple-geek-squad-certified-refurbished-macbook-air-13-3-display-intel-core-i5-8gb-memory-128gb-flash-storage-silver/6530194.p?skuId=6530194,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6530/6530194_sd.jpg;maxHeight=115;maxWidth=300;format=webp,6530194.0,GSRF MQD32LL/A,339.0,999.0,66.07%,3.8,98.0,False,Macbook
"Geek Squad Certified Refurbished MacBook Air 13.6"" Laptop - Apple M2 chip - 8GB Memory - 512GB SSD - Space Gray",https://www.bestbuy.com/site/geek-squad-certified-refurbished-macbook-air-13-6-laptop-apple-m2-chip-8gb-memory-512gb-ssd-space-gray/6550224.p?skuId=6550224,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6550/6550224_sd.jpg;maxHeight=121;maxWidth=300;format=webp,6550224.0,GSRF MLXX3LL/A,899.0,1399.0,35.74%,5.0,9.0,False,Macbook
"Geek Squad Certified Refurbished MacBook Pro 13.3"" Laptop - Apple M2 chip - 8GB Memory - 256GB SSD - Space Gray",https://www.bestbuy.com/site/geek-squad-certified-refurbished-macbook-pro-13-3-laptop-apple-m2-chip-8gb-memory-256gb-ssd-space-gray/6550210.p?skuId=6550210,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6550/6550210_sd.jpg;maxHeight=116;maxWidth=300;format=webp,6550210.0,GSRF MNEH3LL/A,909.0,1299.0,30.02%,4.4,8.0,False,Macbook
